,type3,project_num,tasks,task_num,detail1,detail1_num,detail2,detail2_num,detail3,value,,,,,
80,workspaces,0,tasks,2,owners,0,threepids,0,threepid,1.31E+17,,,,,
81,workspaces,0,tasks,2,owners,0,threepids,1,source,metamask,,,,,
82,workspaces,0,tasks,2,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
83,workspaces,0,tasks,2,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
84,workspaces,0,tasks,2,assignees,0,username,,,lion917,,,,,
85,workspaces,0,tasks,2,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
86,workspaces,0,tasks,2,assignees,0,threepids,0,source,discord,,,,,
87,workspaces,0,tasks,2,assignees,0,threepids,0,threepid,1.31E+17,,,,,
88,workspaces,0,tasks,2,assignees,0,threepids,1,source,metamask,,,,,
89,workspaces,0,tasks,2,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
90,workspaces,0,tasks,3,id,,,,,27375a06-5c11-481b-87c5-639e2f31ca1b,,,,,
91,workspaces,0,tasks,3,name,,,,,Notion Jam Session 3,,,,,
92,workspaces,0,tasks,3,status,,,,,DONE,,,,,
93,workspaces,0,tasks,3,priority,,,,,MEDIUM,,,,,
94,workspaces,0,tasks,3,tags,0,label,,,Ops,,,,,
95,workspaces,0,tasks,3,tags,1,label,,,Notion,,,,,
96,workspaces,0,tasks,3,createdAt,,,,,2022-08-07T20:51:38.071Z,,,,,
97,workspaces,0,tasks,3,updatedAt,,,,,2022-08-07T20:51:38.071Z,,,,,
98,workspaces,0,tasks,3,doneAt,,,,,2022-08-07T20:51:38.010Z,,,,,
99,workspaces,0,tasks,3,owners,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
100,workspaces,0,tasks,3,owners,0,username,,,Anukriti,,,,,
101,workspaces,0,tasks,3,owners,0,createdAt,,,2022-01-24T14:26:43.788Z,,,,,
102,workspaces,0,tasks,3,owners,0,threepids,0,source,discord,,,,,
103,workspaces,0,tasks,3,owners,0,threepids,0,threepid,8.96E+17,,,,,
104,workspaces,0,tasks,3,owners,0,threepids,1,source,metamask,,,,,
105,workspaces,0,tasks,3,owners,0,threepids,1,threepid,0xaE8b5F6638a8F3C76E2F4656cfd2B0b523307302,,,,,
106,workspaces,0,tasks,3,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
107,workspaces,0,tasks,3,assignees,0,username,,,lion917,,,,,
108,workspaces,0,tasks,3,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
109,workspaces,0,tasks,3,assignees,0,threepids,0,source,discord,,,,,
110,workspaces,0,tasks,3,assignees,0,threepids,0,threepid,1.31E+17,,,,,
111,workspaces,0,tasks,3,assignees,0,threepids,1,source,metamask,,,,,
112,workspaces,0,tasks,3,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
113,workspaces,0,tasks,4,id,,,,,c099872a-1bb3-444e-8270-e2242943a72e,,,,,
114,workspaces,0,tasks,4,name,,,,,Notion Jam Session 4,,,,,
115,workspaces,0,tasks,4,status,,,,,DONE,,,,,
116,workspaces,0,tasks,4,priority,,,,,MEDIUM,,,,,
117,workspaces,0,tasks,4,tags,0,label,,,Notion,,,,,
118,workspaces,0,tasks,4,tags,1,label,,,Ops,,,,,
119,workspaces,0,tasks,4,createdAt,,,,,2022-08-07T20:51:33.255Z,,,,,
120,workspaces,0,tasks,4,updatedAt,,,,,2022-08-07T23:21:50.833Z,,,,,
121,workspaces,0,tasks,4,doneAt,,,,,2022-08-07T20:51:33.156Z,,,,,
122,workspaces,0,tasks,4,owners,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
123,workspaces,0,tasks,4,owners,0,username,,,Anukriti,,,,,
124,workspaces,0,tasks,4,owners,0,createdAt,,,2022-01-24T14:26:43.788Z,,,,,
125,workspaces,0,tasks,4,owners,0,threepids,0,source,discord,,,,,
126,workspaces,0,tasks,4,owners,0,threepids,0,threepid,8.96E+17,,,,,
127,workspaces,0,tasks,4,owners,0,threepids,1,source,metamask,,,,,
128,workspaces,0,tasks,4,owners,0,threepids,1,threepid,0xaE8b5F6638a8F3C76E2F4656cfd2B0b523307302,,,,,
129,workspaces,0,tasks,4,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
130,workspaces,0,tasks,4,assignees,0,username,,,lion917,,,,,
131,workspaces,0,tasks,4,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
132,workspaces,0,tasks,4,assignees,0,threepids,0,source,discord,,,,,
133,workspaces,0,tasks,4,assignees,0,threepids,0,threepid,1.31E+17,,,,,
134,workspaces,0,tasks,4,assignees,0,threepids,1,source,metamask,,,,,
135,workspaces,0,tasks,4,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
136,workspaces,0,tasks,5,id,,,,,22609725-b1ae-4769-ab5c-78066df75409,,,,,
137,workspaces,0,tasks,5,name,,,,,Notion Navigation and Best Practices Explainer,,,,,
138,workspaces,0,tasks,5,status,,,,,DONE,,,,,
139,workspaces,0,tasks,5,priority,,,,,NONE,,,,,
140,workspaces,0,tasks,5,tags,0,label,,,Notion,,,,,
141,workspaces,0,tasks,5,tags,1,label,,,Ops,,,,,
142,workspaces,0,tasks,5,createdAt,,,,,2022-06-30T23:45:13.347Z,,,,,
143,workspaces,0,tasks,5,updatedAt,,,,,2022-08-07T20:50:43.853Z,,,,,
144,workspaces,0,tasks,5,doneAt,,,,,2022-08-07T20:50:28.869Z,,,,,
145,workspaces,0,tasks,5,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
146,workspaces,0,tasks,5,owners,0,username,,,lion917,,,,,
147,workspaces,0,tasks,5,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
148,workspaces,0,tasks,5,owners,0,threepids,0,source,discord,,,,,
149,workspaces,0,tasks,5,owners,0,threepids,0,threepid,1.31E+17,,,,,
150,workspaces,0,tasks,5,owners,0,threepids,1,source,metamask,,,,,
151,workspaces,0,tasks,5,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
152,workspaces,0,tasks,5,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
153,workspaces,0,tasks,5,assignees,0,username,,,lion917,,,,,
154,workspaces,0,tasks,5,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
155,workspaces,0,tasks,5,assignees,0,threepids,0,source,discord,,,,,
156,workspaces,0,tasks,5,assignees,0,threepids,0,threepid,1.31E+17,,,,,
157,workspaces,0,tasks,5,assignees,0,threepids,1,source,metamask,,,,,
158,workspaces,0,tasks,5,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
159,workspaces,0,tasks,6,id,,,,,46b11d08-9fbf-4b08-abc8-9c4d747a7c29,,,,,
160,workspaces,0,tasks,6,name,,,,,Suggesting and Implementing Discord Structure V4,,,,,
161,workspaces,0,tasks,6,status,,,,,DONE,,,,,
162,workspaces,0,tasks,6,priority,,,,,NONE,,,,,
163,workspaces,0,tasks,6,tags,0,label,,,Ops,,,,,
164,workspaces,0,tasks,6,tags,1,label,,,discord,,,,,
165,workspaces,0,tasks,6,createdAt,,,,,2022-06-30T23:44:33.831Z,,,,,
166,workspaces,0,tasks,6,updatedAt,,,,,2022-08-07T20:50:20.271Z,,,,,
167,workspaces,0,tasks,6,doneAt,,,,,2022-08-07T20:50:20.271Z,,,,,
168,workspaces,0,tasks,6,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
169,workspaces,0,tasks,6,owners,0,username,,,lion917,,,,,
170,workspaces,0,tasks,6,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
171,workspaces,0,tasks,6,owners,0,threepids,0,source,discord,,,,,
172,workspaces,0,tasks,6,owners,0,threepids,0,threepid,1.31E+17,,,,,
173,workspaces,0,tasks,6,owners,0,threepids,1,source,metamask,,,,,
174,workspaces,0,tasks,6,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
175,workspaces,0,tasks,6,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
176,workspaces,0,tasks,6,assignees,0,username,,,lion917,,,,,
177,workspaces,0,tasks,6,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
178,workspaces,0,tasks,6,assignees,0,threepids,0,source,discord,,,,,
179,workspaces,0,tasks,6,assignees,0,threepids,0,threepid,1.31E+17,,,,,
180,workspaces,0,tasks,6,assignees,0,threepids,1,source,metamask,,,,,
181,workspaces,0,tasks,6,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
182,workspaces,0,tasks,7,id,,,,,a75d6bc6-4945-4c7e-bb53-b6ff5bdace09,,,,,
183,workspaces,0,tasks,7,name,,,,,Written Meeting Best Practices,,,,,
184,workspaces,0,tasks,7,status,,,,,DONE,,,,,
185,workspaces,0,tasks,7,priority,,,,,NONE,,,,,
186,workspaces,0,tasks,7,tags,0,label,,,Notion,,,,,
187,workspaces,0,tasks,7,tags,1,label,,,Ops,,,,,
188,workspaces,0,tasks,7,createdAt,,,,,2022-06-30T23:40:39.324Z,,,,,
189,workspaces,0,tasks,7,updatedAt,,,,,2022-06-30T23:40:44.037Z,,,,,
190,workspaces,0,tasks,7,doneAt,,,,,2022-06-30T23:40:44.037Z,,,,,
191,workspaces,0,tasks,7,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
192,workspaces,0,tasks,7,owners,0,username,,,lion917,,,,,
193,workspaces,0,tasks,7,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
194,workspaces,0,tasks,7,owners,0,threepids,0,source,discord,,,,,
195,workspaces,0,tasks,7,owners,0,threepids,0,threepid,1.31E+17,,,,,
196,workspaces,0,tasks,7,owners,0,threepids,1,source,metamask,,,,,
197,workspaces,0,tasks,7,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
198,workspaces,0,tasks,7,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
199,workspaces,0,tasks,7,assignees,0,username,,,lion917,,,,,
200,workspaces,0,tasks,7,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
201,workspaces,0,tasks,7,assignees,0,threepids,0,source,discord,,,,,
202,workspaces,0,tasks,7,assignees,0,threepids,0,threepid,1.31E+17,,,,,
203,workspaces,0,tasks,7,assignees,0,threepids,1,source,metamask,,,,,
204,workspaces,0,tasks,7,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
205,workspaces,0,tasks,8,id,,,,,07780ad0-0831-4456-b680-c11207d11d65,,,,,
206,workspaces,0,tasks,8,name,,,,,Ops Guild Feedback,,,,,
207,workspaces,0,tasks,8,status,,,,,DONE,,,,,
208,workspaces,0,tasks,8,priority,,,,,NONE,,,,,
209,workspaces,0,tasks,8,tags,0,label,,,Ops,,,,,
210,workspaces,0,tasks,8,createdAt,,,,,2022-06-30T23:40:00.429Z,,,,,
211,workspaces,0,tasks,8,updatedAt,,,,,2022-08-07T20:50:16.677Z,,,,,
212,workspaces,0,tasks,8,doneAt,,,,,2022-08-07T20:50:16.677Z,,,,,
213,workspaces,0,tasks,8,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
214,workspaces,0,tasks,8,owners,0,username,,,lion917,,,,,
215,workspaces,0,tasks,8,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
216,workspaces,0,tasks,8,owners,0,threepids,0,source,discord,,,,,
217,workspaces,0,tasks,8,owners,0,threepids,0,threepid,1.31E+17,,,,,
218,workspaces,0,tasks,8,owners,0,threepids,1,source,metamask,,,,,
219,workspaces,0,tasks,8,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
220,workspaces,0,tasks,8,assignees,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
221,workspaces,0,tasks,8,assignees,0,username,,,Anukriti,,,,,
222,workspaces,0,tasks,8,assignees,0,createdAt,,,2022-01-24T14:26:43.788Z,,,,,
223,workspaces,0,tasks,8,assignees,0,threepids,0,source,discord,,,,,
224,workspaces,0,tasks,8,assignees,0,threepids,0,threepid,8.96E+17,,,,,
225,workspaces,0,tasks,8,assignees,0,threepids,1,source,metamask,,,,,
226,workspaces,0,tasks,8,assignees,0,threepids,1,threepid,0xaE8b5F6638a8F3C76E2F4656cfd2B0b523307302,,,,,
227,workspaces,0,tasks,8,assignees,1,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
228,workspaces,0,tasks,8,assignees,1,username,,,lion917,,,,,
229,workspaces,0,tasks,8,assignees,1,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
230,workspaces,0,tasks,8,assignees,1,threepids,0,source,discord,,,,,
231,workspaces,0,tasks,8,assignees,1,threepids,0,threepid,1.31E+17,,,,,
232,workspaces,0,tasks,8,assignees,1,threepids,1,source,metamask,,,,,
233,workspaces,0,tasks,8,assignees,1,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
234,workspaces,0,tasks,9,id,,,,,b0c7c6b2-e6bd-43ac-8b13-018e9dbdac2e,,,,,
235,workspaces,0,tasks,9,name,,,,,Notion Jam Session 4,,,,,
236,workspaces,0,tasks,9,status,,,,,DONE,,,,,
237,workspaces,0,tasks,9,priority,,,,,NONE,,,,,
238,workspaces,0,tasks,9,tags,0,label,,,Ops,,,,,
239,workspaces,0,tasks,9,tags,1,label,,,Notion,,,,,
240,workspaces,0,tasks,9,createdAt,,,,,2022-06-30T23:39:24.525Z,,,,,
241,workspaces,0,tasks,9,updatedAt,,,,,2022-06-30T23:39:24.525Z,,,,,
242,workspaces,0,tasks,9,doneAt,,,,,2022-06-30T23:39:24.486Z,,,,,
243,workspaces,0,tasks,9,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
244,workspaces,0,tasks,9,owners,0,username,,,lion917,,,,,
245,workspaces,0,tasks,9,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
246,workspaces,0,tasks,9,owners,0,threepids,0,source,discord,,,,,
247,workspaces,0,tasks,9,owners,0,threepids,0,threepid,1.31E+17,,,,,
248,workspaces,0,tasks,9,owners,0,threepids,1,source,metamask,,,,,
249,workspaces,0,tasks,9,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
250,workspaces,0,tasks,9,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
251,workspaces,0,tasks,9,assignees,0,username,,,lion917,,,,,
252,workspaces,0,tasks,9,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
253,workspaces,0,tasks,9,assignees,0,threepids,0,source,discord,,,,,
254,workspaces,0,tasks,9,assignees,0,threepids,0,threepid,1.31E+17,,,,,
255,workspaces,0,tasks,9,assignees,0,threepids,1,source,metamask,,,,,
256,workspaces,0,tasks,9,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
257,workspaces,0,tasks,10,id,,,,,1a58bcc1-6ecf-4760-a53f-993f270d35d3,,,,,
258,workspaces,0,tasks,10,name,,,,,June Discord Feedback Session,,,,,
259,workspaces,0,tasks,10,status,,,,,DONE,,,,,
260,workspaces,0,tasks,10,priority,,,,,NONE,,,,,
261,workspaces,0,tasks,10,tags,0,label,,,Ops,,,,,
262,workspaces,0,tasks,10,tags,1,label,,,discord,,,,,
263,workspaces,0,tasks,10,createdAt,,,,,2022-06-30T23:39:02.649Z,,,,,
264,workspaces,0,tasks,10,updatedAt,,,,,2022-06-30T23:39:02.649Z,,,,,
265,workspaces,0,tasks,10,doneAt,,,,,2022-06-30T23:39:02.597Z,,,,,
266,workspaces,0,tasks,10,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
267,workspaces,0,tasks,10,owners,0,username,,,lion917,,,,,
268,workspaces,0,tasks,10,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
269,workspaces,0,tasks,10,owners,0,threepids,0,source,discord,,,,,
270,workspaces,0,tasks,10,owners,0,threepids,0,threepid,1.31E+17,,,,,
271,workspaces,0,tasks,10,owners,0,threepids,1,source,metamask,,,,,
272,workspaces,0,tasks,10,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
273,workspaces,0,tasks,10,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
274,workspaces,0,tasks,10,assignees,0,username,,,lion917,,,,,
275,workspaces,0,tasks,10,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
276,workspaces,0,tasks,10,assignees,0,threepids,0,source,discord,,,,,
277,workspaces,0,tasks,10,assignees,0,threepids,0,threepid,1.31E+17,,,,,
278,workspaces,0,tasks,10,assignees,0,threepids,1,source,metamask,,,,,
279,workspaces,0,tasks,10,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
280,workspaces,0,tasks,11,id,,,,,1097ecfe-8c45-4082-b363-9d1b175a2f06,,,,,
281,workspaces,0,tasks,11,name,,,,,June EOM Report to ESD,,,,,
282,workspaces,0,tasks,11,status,,,,,DONE,,,,,
283,workspaces,0,tasks,11,priority,,,,,URGENT,,,,,
284,workspaces,0,tasks,11,tags,0,label,,,Ops,,,,,
285,workspaces,0,tasks,11,createdAt,,,,,2022-06-30T23:38:09.537Z,,,,,
286,workspaces,0,tasks,11,updatedAt,,,,,2022-08-07T20:50:52.150Z,,,,,
287,workspaces,0,tasks,11,doneAt,,,,,2022-08-07T20:50:52.150Z,,,,,
288,workspaces,0,tasks,11,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
289,workspaces,0,tasks,11,owners,0,username,,,lion917,,,,,
290,workspaces,0,tasks,11,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
291,workspaces,0,tasks,11,owners,0,threepids,0,source,discord,,,,,
292,workspaces,0,tasks,11,owners,0,threepids,0,threepid,1.31E+17,,,,,
293,workspaces,0,tasks,11,owners,0,threepids,1,source,metamask,,,,,
294,workspaces,0,tasks,11,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
295,workspaces,0,tasks,11,assignees,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
296,workspaces,0,tasks,11,assignees,0,username,,,Anukriti,,,,,
297,workspaces,0,tasks,11,assignees,0,createdAt,,,2022-01-24T14:26:43.788Z,,,,,
298,workspaces,0,tasks,11,assignees,0,threepids,0,source,discord,,,,,
299,workspaces,0,tasks,11,assignees,0,threepids,0,threepid,8.96E+17,,,,,
300,workspaces,0,tasks,11,assignees,0,threepids,1,source,metamask,,,,,
301,workspaces,0,tasks,11,assignees,0,threepids,1,threepid,0xaE8b5F6638a8F3C76E2F4656cfd2B0b523307302,,,,,
302,workspaces,0,tasks,12,id,,,,,3cc5e80e-38a4-4f96-ad7d-270e96b0c6cd,,,,,
303,workspaces,0,tasks,12,name,,,,,TLDRa,,,,,
304,workspaces,0,tasks,12,status,,,,,TODO,,,,,
305,workspaces,0,tasks,12,priority,,,,,NONE,,,,,
306,workspaces,0,tasks,12,createdAt,,,,,2022-06-27T19:16:04.815Z,,,,,
307,workspaces,0,tasks,12,updatedAt,,,,,2022-07-07T02:59:13.908Z,,,,,
308,workspaces,0,tasks,12,doneAt,,,,,,,,,,
309,workspaces,0,tasks,12,owners,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
310,workspaces,0,tasks,12,owners,0,username,,,Anukriti,,,,,
311,workspaces,0,tasks,12,owners,0,createdAt,,,2022-01-24T14:26:43.788Z,,,,,
312,workspaces,0,tasks,12,owners,0,threepids,0,source,discord,,,,,
313,workspaces,0,tasks,12,owners,0,threepids,0,threepid,8.96E+17,,,,,
314,workspaces,0,tasks,12,owners,0,threepids,1,source,metamask,,,,,
315,workspaces,0,tasks,12,owners,0,threepids,1,threepid,0xaE8b5F6638a8F3C76E2F4656cfd2B0b523307302,,,,,
316,workspaces,0,tasks,12,assignees,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5,,,,,
317,workspaces,0,tasks,12,assignees,0,username,,,Anukriti,,,,,
